Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
19020,2018/01/01,1.1,0.7,1.7
19020,2018/01/02,1.6,0.6,2.9
19020,2018/01/03,1.1,0.3,2.4
19020,2018/01/04,1.1,0.6,1.9
19020,2018/01/05,1.0,0.3,1.4
19020,2018/01/06,0.7,0.3,1.5
19020,2018/01/07,1.7,0.3,2.7
19020,2018/01/08,3.4,0.8,7.5
19020,2018/01/09,2.7,0.9,6.4
19020,2018/01/10,1.0,0.4,1.8
19020,2018/01/11,0.8,0.4,1.5
19020,2018/01/12,1.0,0.4,2.2
19020,2018/01/13,0.8,0.3,1.3
19020,2018/01/14,1.1,0.3,2.1
19020,2018/01/15,0.8,0.3,1.1
19020,2018/01/16,1.1,0.5,1.7
19020,2018/01/17,1.7,0.7,3.7
19020,2018/01/18,1.1,0.5,2.2
19020,2018/01/19,1.0,0.4,1.7
19020,2018/01/20,1.2,0.6,2.0
19020,2018/01/21,2.0,0.7,4.0
19020,2018/01/22,1.2,0.3,2.6
19020,2018/01/23,1.3,0.4,3.1
19020,2018/01/24,0.9,0.3,1.5
19020,2018/01/25,0.9,0.5,1.8
19020,2018/01/26,1.2,0.7,1.9
19020,2018/01/27,1.2,0.4,2.3
19020,2018/01/28,0.7,0.3,1.3
19020,2018/01/29,0.7,0.4,1.0
19020,2018/01/30,1.3,0.2,2.6
19020,2018/01/31,0.7,0.4,1.3
19020,2018/02/01,1.9,0.8,3.4
19020,2018/02/02,1.3,0.4,2.5
19020,2018/02/03,1.3,0.3,2.4
19020,2018/02/04,1.4,0.7,2.2
19020,2018/02/05,1.5,0.5,2.3
19020,2018/02/06,1.0,0.3,1.7
19020,2018/02/07,1.0,0.3,1.7
19020,2018/02/08,0.8,0.4,1.6
19020,2018/02/09,1.1,0.3,2.2
19020,2018/02/10,1.0,0.5,1.8
19020,2018/02/11,1.4,0.7,2.6
19020,2018/02/12,1.5,0.7,3.0
19020,2018/02/13,1.2,0.6,2.0
19020,2018/02/14,0.9,0.3,1.6
19020,2018/02/15,1.0,0.3,1.8
19020,2018/02/16,1.0,0.3,2.4
19020,2018/02/17,0.9,0.3,1.6
19020,2018/02/18,1.6,0.4,3.5
19020,2018/02/19,1.3,0.5,2.2
19020,2018/02/20,1.2,0.5,3.2
19020,2018/02/21,1.2,0.5,2.5
19020,2018/02/22,1.0,0.4,1.8
19020,2018/02/23,1.1,0.4,2.3
19020,2018/02/24,1.0,0.4,2.3
19020,2018/02/25,3.9,1.1,6.2
19020,2018/02/26,2.2,1.3,3.3
19020,2018/02/27,1.3,0.7,2.1
19020,2018/02/28,1.7,0.4,2.9
19020,2018/03/01,1.2,0.6,2.5
19020,2018/03/02,1.0,0.5,1.8
19020,2018/03/03,1.2,0.4,3.3
19020,2018/03/04,1.3,0.4,2.2
19020,2018/03/05,0.8,0.1,1.5
19020,2018/03/06,0.9,0.5,1.4
19020,2018/03/07,1.3,0.6,3.2
19020,2018/03/08,1.0,0.6,1.7
19020,2018/03/09,1.1,0.4,2.0
19020,2018/03/10,0.9,0.2,1.4
19020,2018/03/11,1.1,0.4,2.4
19020,2018/03/12,0.9,0.5,1.8
19020,2018/03/13,0.9,0.3,1.7
19020,2018/03/14,1.2,0.3,2.5
19020,2018/03/15,2.1,0.3,4.3
19020,2018/03/16,1.3,0.4,2.2
19020,2018/03/17,2.1,0.7,3.8
19020,2018/03/18,1.8,0.7,3.9
19020,2018/03/19,1.8,1.4,2.4
19020,2018/03/20,1.8,0.9,4.7
19020,2018/03/21,1.8,1.0,3.1
19020,2018/03/22,1.6,0.7,2.8
19020,2018/03/23,1.8,0.6,3.5
19020,2018/03/24,2.3,0.7,4.5
19020,2018/03/25,1.5,0.8,2.1
19020,2018/03/26,0.8,0.3,1.6
19020,2018/03/27,1.1,0.4,2.0
19020,2018/03/28,1.5,0.3,2.5
19020,2018/03/29,1.8,0.4,2.8
19020,2018/03/30,2.7,1.8,3.6
19020,2018/03/31,2.0,1.2,3.2
19020,2018/04/01,2.0,0.7,3.3
19020,2018/04/02,1.4,0.3,2.6
19020,2018/04/03,1.1,0.3,2.0
19020,2018/04/04,1.8,0.8,3.5
19020,2018/04/05,1.2,0.4,2.2
19020,2018/04/06,1.5,0.6,2.9
19020,2018/04/07,1.6,0.5,2.7
19020,2018/04/08,2.4,1.2,3.4
19020,2018/04/09,1.6,1.0,2.5
19020,2018/04/10,1.4,0.5,2.8
19020,2018/04/11,1.7,0.4,3.8
19020,2018/04/12,2.1,0.7,5.8
19020,2018/04/13,1.1,0.4,1.9
19020,2018/04/14,0.9,0.3,1.9
19020,2018/04/15,0.9,0.5,1.3
19020,2018/04/16,0.9,0.3,1.5
19020,2018/04/17,1.5,0.5,2.9
19020,2018/04/18,1.2,0.3,2.5
19020,2018/04/19,1.5,0.4,3.3
19020,2018/04/20,1.0,0.4,1.9
19020,2018/04/21,1.1,0.3,2.2
19020,2018/04/22,1.6,1.0,2.7
19020,2018/04/23,1.7,0.7,2.6
19020,2018/04/24,1.4,0.7,2.1
19020,2018/04/25,1.6,1.0,2.1
19020,2018/04/26,1.6,1.1,2.0
19020,2018/04/27,2.7,0.6,5.7
19020,2018/04/28,1.3,0.3,2.8
19020,2018/04/29,3.1,1.1,5.6
19020,2018/04/30,2.2,0.5,3.9
19020,2018/05/01,1.9,0.6,2.9
19020,2018/05/02,1.3,0.4,2.2
19020,2018/05/03,1.1,0.4,2.5
19020,2018/05/04,1.2,0.4,2.8
19020,2018/05/05,1.2,0.4,2.8
19020,2018/05/06,1.3,0.3,3.0
19020,2018/05/07,1.3,0.4,2.5
19020,2018/05/08,1.6,0.4,4.6
19020,2018/05/09,1.5,0.5,5.2
19020,2018/05/10,1.0,0.3,1.7
19020,2018/05/11,1.5,0.6,3.7
19020,2018/05/12,1.1,0.4,2.2
19020,2018/05/13,1.5,0.7,2.9
19020,2018/05/14,2.0,1.1,2.8
19020,2018/05/15,1.9,1.1,2.5
19020,2018/05/16,1.2,0.4,3.5
19020,2018/05/17,1.3,0.4,2.8
19020,2018/05/18,1.3,0.5,2.1
19020,2018/05/19,1.4,0.6,2.8
19020,2018/05/20,1.8,1.0,2.9
19020,2018/05/21,1.3,0.7,2.1
19020,2018/05/22,1.3,0.6,3.3
19020,2018/05/23,1.0,0.4,1.9
19020,2018/05/24,1.1,0.4,1.8
19020,2018/05/25,1.2,0.4,1.9
19020,2018/05/26,1.6,0.3,2.9
19020,2018/05/27,1.7,0.4,4.4
19020,2018/05/28,1.7,0.8,3.2
19020,2018/05/29,1.2,0.3,1.9
19020,2018/05/30,1.4,0.5,2.8
19020,2018/05/31,1.5,0.4,2.7
19020,2018/06/01,2.1,1.5,3.3
19020,2018/06/02,1.6,0.9,2.2
19020,2018/06/03,1.3,0.7,1.9
19020,2018/06/04,1.5,0.5,2.8
19020,2018/06/05,1.6,1.0,2.4
19020,2018/06/06,1.7,0.9,2.9
19020,2018/06/07,1.6,0.6,3.1
19020,2018/06/08,1.3,0.5,2.0
19020,2018/06/09,1.8,1.0,2.6
19020,2018/06/10,1.7,1.1,2.4
19020,2018/06/11,1.2,0.4,2.3
19020,2018/06/12,1.4,0.5,3.4
19020,2018/06/13,1.3,0.5,2.0
19020,2018/06/14,1.2,0.5,2.1
19020,2018/06/15,1.9,1.2,3.9
19020,2018/06/16,1.9,1.1,2.3
19020,2018/06/17,1.2,0.5,1.9
19020,2018/06/18,1.8,0.7,3.6
19020,2018/06/19,1.6,0.5,2.6
19020,2018/06/20,1.7,0.6,2.9
19020,2018/06/21,1.6,0.4,2.9
19020,2018/06/22,3.4,1.3,5.3
19020,2018/06/23,2.3,1.4,3.4
19020,2018/06/24,2.0,0.6,3.2
19020,2018/06/25,3.0,1.8,3.8
19020,2018/06/26,1.8,1.2,2.5
19020,2018/06/27,2.1,0.5,6.8
19020,2018/06/28,1.5,0.8,3.0
19020,2018/06/29,1.6,0.5,2.5
19020,2018/06/30,1.6,0.4,2.8
19020,2018/07/01,2.1,0.4,5.1
19020,2018/07/02,2.3,1.0,4.4
19020,2018/07/03,1.9,0.9,4.1
19020,2018/07/04,2.0,1.0,4.0
19020,2018/07/05,1.8,0.8,3.5
19020,2018/07/06,1.3,0.4,3.5
19020,2018/07/07,1.4,0.4,2.4
19020,2018/07/08,2.1,0.8,4.0
19020,2018/07/09,2.3,1.4,4.5
19020,2018/07/10,2.3,1.5,3.5
19020,2018/07/11,3.2,2.4,4.6
19020,2018/07/12,2.0,0.9,2.9
19020,2018/07/13,1.2,0.6,2.1
19020,2018/07/14,1.6,0.5,2.9
19020,2018/07/15,1.5,0.6,2.3
19020,2018/07/16,2.2,0.9,4.3
19020,2018/07/17,1.6,0.6,3.2
19020,2018/07/18,1.2,0.5,2.2
19020,2018/07/19,1.4,0.5,2.1
19020,2018/07/20,1.7,1.0,2.8
19020,2018/07/21,1.3,0.6,2.7
19020,2018/07/22,1.3,0.4,2.4
19020,2018/07/23,1.6,0.7,3.2
19020,2018/07/24,1.6,0.5,3.1
19020,2018/07/25,1.2,0.5,2.0
19020,2018/07/26,2.2,0.3,4.7
19020,2018/07/27,1.4,0.7,2.8
19020,2018/07/28,1.5,0.5,2.6
19020,2018/07/29,1.1,0.5,1.8
19020,2018/07/30,1.1,0.4,1.9
19020,2018/07/31,1.2,0.4,2.4
19020,2018/08/01,1.8,0.9,4.1
19020,2018/08/02,2.0,0.7,4.5
19020,2018/08/03,1.5,0.5,2.6
19020,2018/08/04,1.7,0.9,2.8
19020,2018/08/05,1.3,0.5,2.9
19020,2018/08/06,1.7,0.5,3.9
19020,2018/08/07,1.7,0.7,4.2
19020,2018/08/08,1.4,0.4,2.7
