Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5920,2019/01/01,3.1,0.4,4.8
5920,2019/01/02,6.0,-0.1,12.1
5920,2019/01/03,4.3,1.0,7.3
5920,2019/01/04,0.9,-2.6,5.0
5920,2019/01/05,2.4,-2.5,8.7
5920,2019/01/06,6.0,-1.1,16.9
5920,2019/01/07,4.1,1.6,8.0
5920,2019/01/08,2.2,0.3,6.1
5920,2019/01/09,4.6,-2.4,9.8
5920,2019/01/10,6.9,2.8,11.4
5920,2019/01/11,3.6,-1.0,8.0
5920,2019/01/12,2.7,-0.7,8.5
5920,2019/01/13,4.2,-1.2,9.8
5920,2019/01/14,9.9,4.2,14.6
5920,2019/01/15,7.6,2.7,12.6
5920,2019/01/16,7.2,2.5,12.6
5920,2019/01/17,6.2,5.0,7.6
5920,2019/01/18,4.7,1.9,7.2
5920,2019/01/19,4.3,1.5,6.2
5920,2019/01/20,2.4,-1.4,7.1
5920,2019/01/21,2.3,-1.8,7.4
5920,2019/01/22,1.2,-1.8,7.0
5920,2019/01/23,0.4,-2.9,2.2
5920,2019/01/24,2.1,-0.5,6.6
5920,2019/01/25,1.4,-3.5,7.3
5920,2019/01/26,2.2,-2.6,8.8
5920,2019/01/27,1.6,0.5,2.3
5920,2019/01/28,4.3,-0.4,11.3
5920,2019/01/29,3.7,-1.6,8.8
5920,2019/01/30,2.5,0.3,4.2
5920,2019/01/31,0.7,-1.8,2.6
5920,2019/02/01,0.6,-0.1,1.6
5920,2019/02/02,2.1,0.2,5.0
5920,2019/02/03,3.7,1.7,6.5
5920,2019/02/04,6.3,1.4,11.4
5920,2019/02/05,4.8,0.6,10.4
5920,2019/02/06,4.9,-1.1,12.4
5920,2019/02/07,3.1,-0.9,6.5
5920,2019/02/08,5.5,-0.6,12.1
5920,2019/02/09,6.4,0.3,12.3
5920,2019/02/10,6.2,4.3,7.2
5920,2019/02/11,7.4,2.7,12.2
5920,2019/02/12,9.8,6.2,14.1
5920,2019/02/13,7.7,2.7,12.6
5920,2019/02/14,7.0,0.7,13.6
5920,2019/02/15,8.5,1.9,15.4
5920,2019/02/16,8.2,2.2,14.7
5920,2019/02/17,8.4,1.8,16.1
5920,2019/02/18,8.9,2.9,15.5
5920,2019/02/19,8.6,3.5,14.4
5920,2019/02/20,8.6,3.7,13.3
5920,2019/02/21,8.8,3.3,14.5
5920,2019/02/22,11.4,4.4,19.6
5920,2019/02/23,7.2,5.4,9.3
5920,2019/02/24,6.2,0.7,11.4
5920,2019/02/25,8.6,1.8,15.7
5920,2019/02/26,10.5,3.3,18.6
5920,2019/02/27,12.7,4.2,21.6
5920,2019/02/28,11.5,5.4,18.6
5920,2019/03/01,11.9,6.6,19.0
5920,2019/03/02,11.8,5.5,17.1
5920,2019/03/03,11.5,5.6,18.7
5920,2019/03/04,8.4,5.4,10.4
5920,2019/03/05,9.9,2.5,17.7
5920,2019/03/06,10.0,4.7,13.8
5920,2019/03/07,11.5,9.6,14.3
5920,2019/03/08,11.9,6.4,17.4
5920,2019/03/09,12.0,6.4,18.0
5920,2019/03/10,12.4,7.3,17.3
5920,2019/03/11,10.4,6.6,15.5
