Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
14742,2019/01/01,3.2,0.9,5.0
14742,2019/01/02,6.9,-0.2,12.6
14742,2019/01/03,4.7,0.2,7.6
14742,2019/01/04,0.5,-2.3,4.7
14742,2019/01/05,2.1,-2.8,9.1
14742,2019/01/06,6.2,-1.3,16.9
14742,2019/01/07,4.0,1.0,8.4
14742,2019/01/08,2.3,0.3,6.3
14742,2019/01/09,5.1,-2.5,10.3
14742,2019/01/10,7.4,3.6,11.4
14742,2019/01/11,3.6,-0.8,7.8
14742,2019/01/12,2.6,-1.0,8.9
14742,2019/01/13,3.8,-1.6,9.5
14742,2019/01/14,10.3,4.2,15.0
14742,2019/01/15,7.6,2.6,13.3
14742,2019/01/16,6.9,1.6,12.8
14742,2019/01/17,6.5,5.2,7.9
14742,2019/01/18,4.9,2.1,7.5
14742,2019/01/19,4.3,1.3,6.1
14742,2019/01/20,2.0,-1.7,6.7
14742,2019/01/21,2.0,-1.9,7.3
14742,2019/01/22,1.0,-2.0,6.6
14742,2019/01/23,0.5,-2.0,2.5
14742,2019/01/24,2.2,0.0,6.3
14742,2019/01/25,1.3,-3.8,7.3
14742,2019/01/26,1.7,-2.6,8.4
14742,2019/01/27,1.4,0.3,2.1
14742,2019/01/28,4.6,0.5,11.3
14742,2019/01/29,3.3,-1.7,9.0
14742,2019/01/30,2.7,0.2,4.3
14742,2019/01/31,0.9,-1.0,2.8
14742,2019/02/01,0.9,0.4,2.1
14742,2019/02/02,2.3,0.5,4.9
14742,2019/02/03,3.8,2.0,6.6
14742,2019/02/04,5.9,1.5,11.3
14742,2019/02/05,4.5,0.4,10.7
14742,2019/02/06,4.8,-1.1,12.3
14742,2019/02/07,3.0,-0.9,6.7
14742,2019/02/08,5.1,-0.5,12.3
14742,2019/02/09,6.2,0.5,12.5
14742,2019/02/10,6.2,4.3,7.3
14742,2019/02/11,8.2,3.2,12.5
14742,2019/02/12,10.4,7.2,14.7
14742,2019/02/13,7.4,2.5,12.7
14742,2019/02/14,6.9,0.7,14.1
14742,2019/02/15,8.1,1.7,15.5
14742,2019/02/16,7.8,1.7,14.7
14742,2019/02/17,8.2,1.6,16.3
14742,2019/02/18,8.4,2.7,15.2
14742,2019/02/19,8.2,2.9,14.2
14742,2019/02/20,7.8,3.4,13.3
14742,2019/02/21,8.2,3.4,14.5
14742,2019/02/22,10.9,3.6,19.8
14742,2019/02/23,6.8,3.2,9.1
14742,2019/02/24,5.5,0.1,11.7
14742,2019/02/25,8.4,1.8,15.6
14742,2019/02/26,10.5,3.4,18.6
14742,2019/02/27,12.6,4.9,21.5
14742,2019/02/28,11.5,5.8,19.1
14742,2019/03/01,11.7,5.1,19.5
14742,2019/03/02,11.9,5.8,17.2
14742,2019/03/03,11.1,4.2,17.6
14742,2019/03/04,8.3,6.2,10.6
14742,2019/03/05,9.6,3.0,17.4
14742,2019/03/06,9.7,4.7,13.7
14742,2019/03/07,11.3,9.9,13.8
14742,2019/03/08,11.6,6.5,17.0
14742,2019/03/09,11.9,6.4,17.9
14742,2019/03/10,12.4,6.7,17.5
14742,2019/03/11,10.9,7.2,15.4
14742,2019/03/12,9.6,5.3,14.3
14742,2019/03/13,9.4,4.4,16.1
14742,2019/03/14,9.9,3.0,16.2
14742,2019/03/15,13.7,7.7,21.1
14742,2019/03/16,14.8,8.1,22.9
14742,2019/03/17,11.9,9.0,13.9
14742,2019/03/18,11.2,7.1,15.6
14742,2019/03/19,9.4,4.3,13.4
14742,2019/03/20,9.5,3.8,13.9
14742,2019/03/21,10.0,3.7,15.7
14742,2019/03/22,12.1,4.7,19.4
14742,2019/03/23,14.3,6.2,21.9
14742,2019/03/24,15.5,7.8,23.7
14742,2019/03/25,15.5,9.3,23.3
14742,2019/03/26,11.5,6.7,16.4
14742,2019/03/27,10.9,5.8,15.1
14742,2019/03/28,11.1,6.4,15.5
14742,2019/03/29,12.4,6.5,17.9
14742,2019/03/30,13.4,6.1,20.1
14742,2019/03/31,14.4,6.8,21.8
14742,2019/04/01,15.3,8.0,22.0
14742,2019/04/02,15.9,10.2,20.7
14742,2019/04/03,12.2,10.7,13.7
14742,2019/04/04,10.4,7.8,11.8
14742,2019/04/05,11.3,7.5,15.8
14742,2019/04/06,12.6,10.5,15.2
14742,2019/04/07,11.1,9.7,13.1
14742,2019/04/08,12.5,6.0,18.6
14742,2019/04/09,14.5,9.5,20.1
14742,2019/04/10,13.1,9.1,17.7
14742,2019/04/11,11.6,10.3,12.8
14742,2019/04/12,12.9,10.7,16.1
14742,2019/04/13,11.8,8.4,14.7
14742,2019/04/14,8.1,6.8,9.9
14742,2019/04/15,13.0,7.3,18.2
14742,2019/04/16,14.7,9.9,18.8
14742,2019/04/17,15.6,8.7,21.4
14742,2019/04/18,16.4,11.7,20.7
14742,2019/04/19,16.8,10.8,21.0
14742,2019/04/20,17.4,10.4,23.0
14742,2019/04/21,18.0,12.9,22.4
14742,2019/04/22,16.5,14.5,19.1
14742,2019/04/23,12.9,12.1,14.1
14742,2019/04/24,15.1,13.2,17.3
14742,2019/04/25,14.4,10.4,16.7
14742,2019/04/26,14.2,10.5,19.4
14742,2019/04/27,15.2,7.5,20.7
14742,2019/04/28,15.3,10.6,19.3
14742,2019/04/29,12.2,9.0,15.6
14742,2019/04/30,15.5,7.2,22.6
14742,2019/05/01,16.9,10.5,22.9
14742,2019/05/02,15.7,11.6,20.2
14742,2019/05/03,14.1,11.8,19.1
14742,2019/05/04,14.8,10.8,19.4
14742,2019/05/05,10.5,6.8,15.3
14742,2019/05/06,12.4,5.1,18.1
14742,2019/05/07,13.5,7.8,18.1
14742,2019/05/08,11.9,10.2,13.2
14742,2019/05/09,14.0,9.3,18.9
14742,2019/05/10,17.2,12.2,22.0
14742,2019/05/11,15.0,11.0,19.8
14742,2019/05/12,14.6,11.3,18.9
14742,2019/05/13,17.1,13.3,21.1
14742,2019/05/14,14.7,9.9,18.8
14742,2019/05/15,12.0,7.4,15.1
14742,2019/05/16,15.0,8.4,19.7
14742,2019/05/17,15.1,12.3,18.8
14742,2019/05/18,13.4,12.0,15.2
14742,2019/05/19,13.4,11.9,15.1
14742,2019/05/20,14.6,12.8,16.5
14742,2019/05/21,17.5,11.6,23.6
14742,2019/05/22,18.7,12.6,24.5
14742,2019/05/23,19.7,14.2,25.0
14742,2019/05/24,20.2,14.5,25.3
14742,2019/05/25,18.8,15.0,24.4
14742,2019/05/26,19.7,15.9,23.6
14742,2019/05/27,16.4,14.7,18.8
14742,2019/05/28,16.2,14.1,20.6
14742,2019/05/29,16.4,13.7,19.3
14742,2019/05/30,19.0,13.3,23.7
14742,2019/05/31,19.9,14.1,24.4
14742,2019/06/01,22.0,15.0,27.4
14742,2019/06/02,23.9,16.9,29.6
14742,2019/06/03,24.8,18.1,30.6
14742,2019/06/04,24.8,19.4,30.1
14742,2019/06/05,23.9,18.5,28.9
14742,2019/06/06,21.7,18.1,25.5
14742,2019/06/07,21.9,17.3,25.6
14742,2019/06/08,23.7,18.4,28.2
14742,2019/06/09,22.4,18.8,26.1
14742,2019/06/10,23.6,20.0,26.8
14742,2019/06/11,23.2,18.9,26.9
14742,2019/06/12,23.4,18.5,28.6
14742,2019/06/13,22.1,16.3,28.1
14742,2019/06/14,24.4,17.7,30.7
14742,2019/06/15,23.8,18.8,28.9
14742,2019/06/16,24.2,16.8,30.4
14742,2019/06/17,26.3,19.6,31.6
14742,2019/06/18,27.4,23.1,31.9
14742,2019/06/19,26.8,22.4,31.4
14742,2019/06/20,25.0,20.9,30.4
14742,2019/06/21,24.8,20.1,29.9
14742,2019/06/22,21.6,16.9,24.9
14742,2019/06/23,24.2,17.3,30.1
14742,2019/06/24,27.1,20.3,32.5
14742,2019/06/25,29.0,23.4,33.2
14742,2019/06/26,30.3,25.2,34.4
14742,2019/06/27,31.8,25.9,37.0
14742,2019/06/28,31.5,24.6,35.7
14742,2019/06/29,29.9,26.9,32.9
14742,2019/06/30,29.7,24.7,33.4
14742,2019/07/01,28.1,24.6,33.7
14742,2019/07/02,28.4,23.3,33.2
14742,2019/07/03,26.6,18.7,32.6
14742,2019/07/04,25.6,18.9,30.9
14742,2019/07/05,28.0,22.5,32.6
14742,2019/07/06,27.5,23.6,32.8
14742,2019/07/07,27.2,22.7,32.5
14742,2019/07/08,27.4,22.3,32.0
14742,2019/07/09,24.9,22.3,28.7
14742,2019/07/10,25.0,22.3,27.9
14742,2019/07/11,24.2,22.2,26.4
14742,2019/07/12,25.5,20.9,30.2
14742,2019/07/13,26.0,21.6,31.5
14742,2019/07/14,24.4,19.9,29.3
14742,2019/07/15,19.8,16.3,24.0
14742,2019/07/16,23.3,17.3,28.3
14742,2019/07/17,24.9,19.1,29.5
14742,2019/07/18,24.5,20.0,28.8
14742,2019/07/19,25.6,20.5,30.1
14742,2019/07/20,26.7,22.0,31.1
14742,2019/07/21,27.0,22.6,31.6
14742,2019/07/22,28.3,23.4,32.4
14742,2019/07/23,29.8,24.9,33.7
14742,2019/07/24,30.5,25.7,34.9
14742,2019/07/25,31.5,27.4,36.0
14742,2019/07/26,30.6,26.6,34.6
14742,2019/07/27,25.3,20.7,29.3
14742,2019/07/28,24.1,19.5,27.7
14742,2019/07/29,26.8,19.8,32.6
14742,2019/07/30,27.0,20.9,33.0
14742,2019/07/31,26.5,22.6,30.8
14742,2019/08/01,27.0,22.2,31.6
14742,2019/08/02,24.2,17.4,29.5
14742,2019/08/03,25.0,17.4,31.6
14742,2019/08/04,26.5,21.0,31.5
14742,2019/08/05,27.6,23.5,32.2
14742,2019/08/06,27.0,23.8,31.1
14742,2019/08/07,23.9,19.8,29.0
14742,2019/08/08,25.1,19.4,30.6
14742,2019/08/09,27.5,22.5,32.3
14742,2019/08/10,28.2,24.5,32.5
14742,2019/08/11,28.2,23.7,32.6
14742,2019/08/12,25.8,22.1,30.4
14742,2019/08/13,24.9,19.8,29.2
14742,2019/08/14,24.6,20.6,28.8
14742,2019/08/15,24.2,19.7,28.4
14742,2019/08/16,23.8,19.3,28.3
14742,2019/08/17,24.9,20.1,29.3
14742,2019/08/18,26.0,20.9,31.0
14742,2019/08/19,26.3,22.6,30.7
14742,2019/08/20,25.6,22.6,30.1
14742,2019/08/21,26.7,21.6,31.8
14742,2019/08/22,24.3,19.4,28.5
14742,2019/08/23,23.9,20.9,27.6
14742,2019/08/24,25.1,20.7,30.6
14742,2019/08/25,26.2,21.6,31.1
14742,2019/08/26,26.6,21.5,31.1
14742,2019/08/27,26.9,22.1,31.1
14742,2019/08/28,22.2,18.5,25.8
14742,2019/08/29,24.3,18.1,30.7
14742,2019/08/30,26.4,20.6,31.9
14742,2019/08/31,26.2,22.7,30.8
14742,2019/09/01,26.1,21.3,30.9
14742,2019/09/02,24.1,18.3,28.6
14742,2019/09/03,23.8,19.8,27.8
14742,2019/09/04,23.1,20.1,26.7
14742,2019/09/05,20.5,14.2,26.9
14742,2019/09/06,17.2,14.8,20.2
14742,2019/09/07,19.1,14.0,24.4
14742,2019/09/08,17.1,12.8,21.8
14742,2019/09/09,17.9,11.2,24.4
14742,2019/09/10,19.1,15.6,22.1
14742,2019/09/11,20.6,15.1,25.8
14742,2019/09/12,21.9,15.7,27.7
14742,2019/09/13,23.0,17.1,28.2
14742,2019/09/14,23.1,17.9,28.5
14742,2019/09/15,23.1,19.3,28.0
14742,2019/09/16,23.8,19.0,28.4
14742,2019/09/17,23.9,19.1,29.2
14742,2019/09/18,22.2,18.9,26.1
14742,2019/09/19,19.2,16.5,22.7
14742,2019/09/20,18.7,16.3,21.1
14742,2019/09/21,17.6,11.9,22.1
14742,2019/09/22,16.7,14.8,19.3
14742,2019/09/23,17.1,14.2,22.2
14742,2019/09/24,17.7,12.8,23.4
14742,2019/09/25,18.8,13.6,24.4
14742,2019/09/26,19.4,16.2,23.6
14742,2019/09/27,20.5,17.5,23.8
14742,2019/09/28,21.2,18.0,25.4
14742,2019/09/29,20.6,15.9,25.4
14742,2019/09/30,21.1,16.0,27.3
14742,2019/10/01,20.9,16.8,25.2
14742,2019/10/02,20.3,16.9,25.1
14742,2019/10/03,18.3,14.4,22.1
14742,2019/10/04,14.7,10.7,17.2
14742,2019/10/05,15.5,9.4,21.4
