Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
14391,2019/01/01,1.1,0.3,2.6
14391,2019/01/02,4.8,0.9,10.3
14391,2019/01/03,2.2,0.6,8.2
14391,2019/01/04,0.7,0.3,1.2
14391,2019/01/05,0.9,0.4,1.9
14391,2019/01/06,1.4,0.5,5.0
14391,2019/01/07,0.9,0.2,2.1
14391,2019/01/08,0.9,0.0,1.6
14391,2019/01/09,3.8,0.8,7.0
14391,2019/01/10,2.2,0.4,5.6
14391,2019/01/11,0.9,0.2,2.2
14391,2019/01/12,0.6,0.1,1.6
14391,2019/01/13,0.9,0.0,2.3
14391,2019/01/14,4.8,1.5,8.3
14391,2019/01/15,1.4,0.3,4.4
14391,2019/01/16,0.8,0.1,1.9
14391,2019/01/17,1.0,0.6,1.6
14391,2019/01/18,1.4,0.3,2.5
14391,2019/01/19,1.0,0.3,1.7
14391,2019/01/20,0.7,0.1,1.5
14391,2019/01/21,0.9,0.2,2.0
14391,2019/01/22,0.8,0.1,2.1
14391,2019/01/23,1.1,0.2,2.8
14391,2019/01/24,0.9,0.3,1.7
14391,2019/01/25,0.8,0.0,2.1
14391,2019/01/26,0.6,0.1,1.3
14391,2019/01/27,1.1,0.4,2.2
14391,2019/01/28,1.7,0.2,3.0
14391,2019/01/29,1.0,0.3,1.9
14391,2019/01/30,1.0,0.2,1.8
14391,2019/01/31,0.9,0.3,1.8
14391,2019/02/01,0.5,0.0,1.7
14391,2019/02/02,1.1,0.5,1.6
14391,2019/02/03,0.8,0.1,1.4
14391,2019/02/04,0.9,0.1,1.8
14391,2019/02/05,0.7,0.0,1.6
14391,2019/02/06,0.7,0.2,1.6
14391,2019/02/07,0.6,0.1,1.4
14391,2019/02/08,0.5,0.1,1.6
14391,2019/02/09,0.9,0.2,2.6
14391,2019/02/10,1.0,0.1,2.0
14391,2019/02/11,3.8,1.5,6.3
14391,2019/02/12,2.5,0.9,3.9
14391,2019/02/13,1.1,0.1,2.4
14391,2019/02/14,0.9,0.2,2.4
14391,2019/02/15,1.0,0.3,1.8
14391,2019/02/16,0.9,0.3,1.9
14391,2019/02/17,0.8,0.2,1.9
14391,2019/02/18,1.4,0.2,2.8
14391,2019/02/19,1.4,0.2,2.8
14391,2019/02/20,0.9,0.3,1.8
14391,2019/02/21,0.8,0.2,1.9
14391,2019/02/22,1.0,0.5,2.1
14391,2019/02/23,2.0,0.1,3.9
14391,2019/02/24,1.0,0.2,1.9
14391,2019/02/25,1.0,0.4,1.9
14391,2019/02/26,0.8,0.3,1.9
14391,2019/02/27,0.8,0.2,1.5
14391,2019/02/28,1.6,0.3,3.0
14391,2019/03/01,1.1,0.2,2.1
14391,2019/03/02,0.9,0.4,1.9
14391,2019/03/03,1.1,0.3,2.2
14391,2019/03/04,1.2,0.7,2.0
14391,2019/03/05,1.1,0.3,2.3
14391,2019/03/06,1.0,0.3,1.9
14391,2019/03/07,2.0,0.5,4.8
14391,2019/03/08,1.4,0.1,2.3
14391,2019/03/09,1.6,0.3,2.6
14391,2019/03/10,1.4,0.7,2.9
14391,2019/03/11,4.1,0.7,9.2
14391,2019/03/12,2.5,0.4,6.1
14391,2019/03/13,1.6,0.5,4.5
14391,2019/03/14,1.3,0.5,2.6
14391,2019/03/15,1.9,0.8,3.4
14391,2019/03/16,1.7,0.5,2.9
14391,2019/03/17,1.0,0.2,1.9
14391,2019/03/18,3.8,1.5,7.3
14391,2019/03/19,1.5,0.5,2.6
14391,2019/03/20,1.3,0.1,2.4
14391,2019/03/21,1.3,0.2,2.2
14391,2019/03/22,1.0,0.3,1.9
14391,2019/03/23,1.0,0.2,2.0
14391,2019/03/24,1.2,0.1,2.2
14391,2019/03/25,4.8,0.8,13.0
14391,2019/03/26,2.6,0.5,8.5
14391,2019/03/27,1.5,0.0,2.9
14391,2019/03/28,1.4,0.3,3.2
14391,2019/03/29,1.3,0.2,2.4
14391,2019/03/30,1.0,0.1,2.0
14391,2019/03/31,0.9,0.1,2.1
14391,2019/04/01,1.0,0.0,2.5
14391,2019/04/02,1.5,0.3,2.8
14391,2019/04/03,2.1,0.8,4.4
14391,2019/04/04,2.9,0.9,5.2
14391,2019/04/05,1.2,0.5,1.9
14391,2019/04/06,1.5,0.2,2.6
14391,2019/04/07,1.0,0.2,1.8
14391,2019/04/08,1.4,0.5,2.7
14391,2019/04/09,1.5,0.5,3.2
14391,2019/04/10,1.2,0.4,3.1
14391,2019/04/11,0.9,0.1,1.9
14391,2019/04/12,1.4,0.2,2.5
14391,2019/04/13,2.1,1.4,3.7
14391,2019/04/14,2.1,0.4,4.2
14391,2019/04/15,1.1,0.2,2.6
14391,2019/04/16,0.9,0.2,2.1
14391,2019/04/17,0.9,0.1,2.1
14391,2019/04/18,1.7,0.5,3.0
14391,2019/04/19,1.2,0.0,2.3
14391,2019/04/20,1.1,0.0,2.6
14391,2019/04/21,1.3,0.1,2.2
14391,2019/04/22,1.8,0.5,3.1
14391,2019/04/23,1.7,0.4,3.0
14391,2019/04/24,1.6,0.5,2.6
14391,2019/04/25,1.2,0.3,2.4
14391,2019/04/26,2.3,1.0,3.7
14391,2019/04/27,1.7,0.6,2.4
14391,2019/04/28,3.0,0.6,5.6
14391,2019/04/29,1.4,0.1,3.1
14391,2019/04/30,1.5,0.1,2.8
14391,2019/05/01,1.4,0.4,2.2
14391,2019/05/02,1.9,0.4,3.3
14391,2019/05/03,1.2,0.1,3.0
14391,2019/05/04,1.5,0.1,2.7
14391,2019/05/05,2.2,0.6,5.3
14391,2019/05/06,1.3,0.1,3.2
14391,2019/05/07,1.4,0.2,2.7
14391,2019/05/08,1.3,0.3,2.3
14391,2019/05/09,1.1,0.3,2.1
14391,2019/05/10,1.2,0.1,2.2
14391,2019/05/11,1.4,0.5,3.0
14391,2019/05/12,1.4,0.4,2.6
14391,2019/05/13,1.4,0.2,3.3
14391,2019/05/14,2.0,0.2,3.7
14391,2019/05/15,1.5,0.0,3.8
14391,2019/05/16,1.2,0.0,2.4
14391,2019/05/17,1.7,0.6,3.1
14391,2019/05/18,1.3,0.5,2.7
14391,2019/05/19,0.6,0.1,1.3
14391,2019/05/20,1.0,0.3,2.0
14391,2019/05/21,2.0,0.9,3.2
14391,2019/05/22,1.5,0.4,2.5
14391,2019/05/23,1.1,0.2,2.4
14391,2019/05/24,1.2,0.2,2.1
14391,2019/05/25,1.4,0.3,5.8
14391,2019/05/26,1.0,0.4,1.6
14391,2019/05/27,1.0,0.1,2.1
14391,2019/05/28,1.3,0.1,5.2
14391,2019/05/29,1.5,0.1,2.5
14391,2019/05/30,1.4,0.1,2.6
14391,2019/05/31,1.5,0.6,2.6
14391,2019/06/01,1.2,0.2,2.4
14391,2019/06/02,1.2,0.3,2.3
14391,2019/06/03,1.4,0.3,2.7
14391,2019/06/04,1.3,0.3,2.1
14391,2019/06/05,1.5,0.7,2.4
14391,2019/06/06,1.9,1.2,2.7
14391,2019/06/07,1.3,0.1,2.6
14391,2019/06/08,1.2,0.2,2.4
14391,2019/06/09,1.3,0.4,2.7
14391,2019/06/10,1.7,0.4,3.3
14391,2019/06/11,1.4,0.5,2.8
14391,2019/06/12,1.4,0.4,2.6
14391,2019/06/13,1.6,0.2,2.4
14391,2019/06/14,1.3,0.2,2.4
14391,2019/06/15,1.7,0.4,3.1
14391,2019/06/16,1.6,0.5,2.6
14391,2019/06/17,1.5,0.3,2.7
14391,2019/06/18,1.2,0.2,2.0
14391,2019/06/19,1.8,0.3,2.6
14391,2019/06/20,1.8,0.6,3.7
14391,2019/06/21,1.4,0.5,2.3
14391,2019/06/22,1.6,0.4,4.4
14391,2019/06/23,1.0,0.3,2.0
14391,2019/06/24,1.1,0.1,2.4
14391,2019/06/25,1.1,0.1,2.1
14391,2019/06/26,1.0,0.2,2.0
14391,2019/06/27,1.4,0.1,2.5
14391,2019/06/28,1.8,0.5,2.9
14391,2019/06/29,2.0,0.7,3.0
14391,2019/06/30,1.2,0.1,2.0
14391,2019/07/01,1.6,0.4,6.0
14391,2019/07/02,1.8,0.6,3.5
14391,2019/07/03,1.9,0.9,3.7
14391,2019/07/04,1.2,0.3,2.1
14391,2019/07/05,1.4,0.2,2.6
14391,2019/07/06,1.7,0.3,2.4
14391,2019/07/07,1.8,0.5,3.3
14391,2019/07/08,1.4,0.6,2.2
14391,2019/07/09,2.1,0.9,3.8
14391,2019/07/10,1.9,0.5,3.0
14391,2019/07/11,1.3,0.2,2.2
14391,2019/07/12,1.4,0.5,2.8
14391,2019/07/13,1.9,0.5,4.6
14391,2019/07/14,1.9,0.4,3.0
14391,2019/07/15,2.0,0.4,4.1
14391,2019/07/16,1.2,0.2,2.4
14391,2019/07/17,1.3,0.2,2.2
14391,2019/07/18,1.4,0.1,3.0
14391,2019/07/19,1.0,0.2,2.2
14391,2019/07/20,1.3,0.2,2.3
14391,2019/07/21,1.5,0.3,2.3
14391,2019/07/22,1.2,0.3,2.4
14391,2019/07/23,1.1,0.2,2.2
14391,2019/07/24,1.1,0.2,2.6
14391,2019/07/25,1.3,0.2,2.6
14391,2019/07/26,1.6,0.3,3.1
14391,2019/07/27,1.9,0.7,4.0
14391,2019/07/28,1.6,0.5,2.6
14391,2019/07/29,1.6,0.3,2.6
14391,2019/07/30,1.6,0.4,2.4
14391,2019/07/31,1.4,0.5,2.1
14391,2019/08/01,1.4,0.3,2.3
14391,2019/08/02,1.6,0.4,4.6
14391,2019/08/03,1.2,0.2,3.2
14391,2019/08/04,1.4,0.1,2.6
14391,2019/08/05,1.4,0.4,2.3
14391,2019/08/06,1.6,0.5,3.9
14391,2019/08/07,2.1,0.6,4.7
14391,2019/08/08,1.0,0.3,1.9
14391,2019/08/09,1.1,0.1,2.4
14391,2019/08/10,1.2,0.2,2.0
14391,2019/08/11,1.6,0.3,2.7
14391,2019/08/12,1.5,0.3,3.1
14391,2019/08/13,1.2,0.2,2.0
14391,2019/08/14,1.5,0.4,2.4
14391,2019/08/15,1.4,0.5,2.3
14391,2019/08/16,1.3,0.1,2.3
14391,2019/08/17,0.9,0.2,1.7
14391,2019/08/18,1.0,0.2,1.6
14391,2019/08/19,1.1,0.3,2.0
14391,2019/08/20,1.5,0.3,2.5
14391,2019/08/21,1.2,0.1,2.8
14391,2019/08/22,1.6,0.5,4.1
14391,2019/08/23,1.3,0.3,2.7
14391,2019/08/24,1.0,0.2,2.0
14391,2019/08/25,1.2,0.3,2.0
14391,2019/08/26,1.2,0.2,2.2
14391,2019/08/27,1.0,0.1,1.8
14391,2019/08/28,1.6,0.6,4.6
14391,2019/08/29,0.9,0.3,1.6
14391,2019/08/30,0.9,0.1,1.8
14391,2019/08/31,1.2,0.2,2.1
14391,2019/09/01,0.9,0.3,1.9
14391,2019/09/02,1.2,0.2,3.3
14391,2019/09/03,1.3,0.1,2.7
14391,2019/09/04,1.3,0.2,2.2
14391,2019/09/05,1.8,0.3,5.6
14391,2019/09/06,1.2,0.2,2.5
14391,2019/09/07,0.8,0.2,1.8
14391,2019/09/08,1.9,0.5,4.8
14391,2019/09/09,1.0,0.2,2.4
14391,2019/09/10,0.9,0.2,2.4
14391,2019/09/11,1.0,0.1,2.2
14391,2019/09/12,0.8,0.1,1.7
14391,2019/09/13,0.8,0.0,1.7
14391,2019/09/14,0.7,0.0,1.8
14391,2019/09/15,0.8,0.1,1.8
14391,2019/09/16,0.7,0.1,1.4
14391,2019/09/17,1.2,0.1,2.2
14391,2019/09/18,1.3,0.1,3.2
14391,2019/09/19,1.5,0.1,2.5
14391,2019/09/20,1.4,0.4,2.4
14391,2019/09/21,0.9,0.1,1.8
14391,2019/09/22,1.1,0.2,1.6
14391,2019/09/23,1.1,0.2,1.9
14391,2019/09/24,0.7,0.2,1.6
14391,2019/09/25,0.8,0.2,1.7
14391,2019/09/26,0.9,0.1,1.7
14391,2019/09/27,0.7,0.1,1.6
14391,2019/09/28,0.7,0.2,1.6
14391,2019/09/29,1.2,0.2,2.2
14391,2019/09/30,1.2,0.3,2.4
14391,2019/10/01,0.8,0.3,1.5
14391,2019/10/02,1.3,0.5,2.0
14391,2019/10/03,2.6,0.7,8.0
14391,2019/10/04,1.2,0.3,2.5
14391,2019/10/05,1.0,0.3,2.1
14391,2019/10/06,1.4,0.2,2.2
14391,2019/10/07,1.2,0.1,2.1
14391,2019/10/08,0.8,0.1,2.0
14391,2019/10/09,0.9,0.4,1.4
14391,2019/10/10,0.9,0.1,1.9
14391,2019/10/11,0.7,0.1,1.8
14391,2019/10/12,0.6,0.0,1.8
14391,2019/10/13,0.7,0.2,1.6
14391,2019/10/14,0.7,0.2,1.2
14391,2019/10/15,2.4,0.5,3.9
14391,2019/10/16,1.1,0.2,2.1
14391,2019/10/17,0.9,0.3,1.9
14391,2019/10/18,1.0,0.4,2.0
14391,2019/10/19,1.3,0.5,2.0
14391,2019/10/20,1.8,0.7,2.7
14391,2019/10/21,1.9,1.0,4.1
14391,2019/10/22,0.9,0.1,1.5
14391,2019/10/23,0.7,0.2,1.3
14391,2019/10/24,1.5,0.4,2.8
14391,2019/10/25,0.8,0.2,1.3
14391,2019/10/26,0.6,0.1,1.4
14391,2019/10/27,0.5,0.1,1.1
14391,2019/10/28,0.7,0.0,1.6
14391,2019/10/29,0.8,0.2,1.3
14391,2019/10/30,1.4,0.3,2.2
14391,2019/10/31,1.2,0.7,1.6
14391,2019/11/01,0.6,0.1,1.2
14391,2019/11/02,0.7,0.2,1.3
14391,2019/11/03,1.2,0.8,1.6
14391,2019/11/04,1.0,0.3,1.9
14391,2019/11/05,1.0,0.3,1.5
14391,2019/11/06,0.8,0.4,1.6
14391,2019/11/07,1.0,0.3,2.5
14391,2019/11/08,1.7,0.5,2.9
14391,2019/11/09,1.1,0.4,2.0
14391,2019/11/10,0.7,0.1,1.6
14391,2019/11/11,1.0,0.3,2.5
14391,2019/11/12,1.0,0.4,1.6
14391,2019/11/13,1.3,0.3,3.4
14391,2019/11/14,1.2,0.4,3.5
14391,2019/11/15,1.9,0.4,4.9
14391,2019/11/16,0.8,0.1,1.6
14391,2019/11/17,1.0,0.3,1.5
14391,2019/11/18,0.8,0.3,1.6
14391,2019/11/19,1.3,0.4,2.8
