Id Sensore,Data-Ora,Valore Cumulata Giornaliero, Minimo Valore Cumulata Orario, Massimo Valore Cumulata Orario
8149,2018/01/01,-999,-999,-999
8149,2018/01/02,-999,-999,-999
8149,2018/01/03,-999,-999,-999
8149,2018/01/04,-999,-999,-999
8149,2018/01/05,-999,-999,-999
8149,2018/01/06,-999,-999,-999
8149,2018/01/07,-999,-999,-999
8149,2018/01/08,-999,-999,-999
8149,2018/01/09,-999,-999,-999
8149,2018/01/10,-999,-999,-999
8149,2018/01/11,-999,-999,-999
8149,2018/01/12,-999,-999,-999
8149,2018/01/13,-999,-999,-999
8149,2018/01/14,-999,-999,-999
8149,2018/01/15,-999,-999,-999
8149,2018/01/16,-999,-999,-999
8149,2018/01/17,-999,-999,-999
8149,2018/01/18,-999,-999,-999
8149,2018/01/19,-999,-999,-999
8149,2018/01/20,-999,-999,-999
8149,2018/01/21,-999,-999,-999
8149,2018/01/22,-999,-999,-999
8149,2018/01/23,-999,-999,-999
8149,2018/01/24,-999,-999,-999
8149,2018/01/25,-999,-999,-999
8149,2018/01/26,-999,-999,-999
8149,2018/01/27,-999,-999,-999
8149,2018/01/28,-999,-999,-999
8149,2018/01/29,-999,-999,-999
8149,2018/01/30,-999,-999,-999
8149,2018/01/31,-999,-999,-999
8149,2018/02/01,-999,-999,-999
8149,2018/02/02,-999,-999,-999
8149,2018/02/03,-999,-999,-999
8149,2018/02/04,-999,-999,-999
8149,2018/02/05,-999,-999,-999
8149,2018/02/06,-999,-999,-999
8149,2018/02/07,-999,-999,-999
8149,2018/02/08,-999,-999,-999
8149,2018/02/09,-999,-999,-999
8149,2018/02/10,-999,-999,-999
8149,2018/02/11,-999,-999,-999
8149,2018/02/12,-999,-999,-999
8149,2018/02/13,-999,-999,-999
8149,2018/02/14,-999,-999,-999
8149,2018/02/15,-999,-999,-999
8149,2018/02/16,-999,-999,-999
8149,2018/02/17,-999,-999,-999
8149,2018/02/18,-999,-999,-999
8149,2018/02/19,-999,-999,-999
8149,2018/02/20,-999,-999,-999
8149,2018/02/21,-999,-999,-999
8149,2018/02/22,-999,-999,-999
8149,2018/02/23,-999,-999,-999
8149,2018/02/24,-999,-999,-999
8149,2018/02/25,-999,-999,-999
8149,2018/02/26,-999,-999,-999
8149,2018/02/27,-999,-999,-999
8149,2018/02/28,-999,-999,-999
8149,2018/03/01,-999,-999,-999
8149,2018/03/02,-999,-999,-999
8149,2018/03/03,-999,-999,-999
8149,2018/03/04,-999,-999,-999
8149,2018/03/05,-999,-999,-999
8149,2018/03/06,-999,-999,-999
8149,2018/03/07,-999,-999,-999
8149,2018/03/08,-999,-999,-999
8149,2018/03/09,-999,-999,-999
8149,2018/03/10,-999,-999,-999
8149,2018/03/11,-999,-999,-999
8149,2018/03/12,-999,-999,-999
8149,2018/03/13,-999,-999,-999
8149,2018/03/14,-999,-999,-999
8149,2018/03/15,-999,-999,-999
8149,2018/03/16,-999,-999,-999
8149,2018/03/17,-999,-999,-999
8149,2018/03/18,-999,-999,-999
8149,2018/03/19,-999,-999,-999
8149,2018/03/20,-999,-999,-999
8149,2018/03/21,-999,-999,-999
8149,2018/03/22,-999,-999,-999
8149,2018/03/23,-999,-999,-999
8149,2018/03/24,-999,-999,-999
8149,2018/03/25,-999,-999,-999
8149,2018/03/26,-999,-999,-999
8149,2018/03/27,-999,-999,-999
8149,2018/03/28,-999,-999,-999
8149,2018/03/29,-999,-999,-999
8149,2018/03/30,-999,-999,-999
8149,2018/03/31,-999,-999,-999
8149,2018/04/01,-999,-999,-999
8149,2018/04/02,-999,-999,-999
8149,2018/04/03,-999,-999,-999
8149,2018/04/04,-999,-999,-999
8149,2018/04/05,-999,-999,-999
8149,2018/04/06,-999,-999,-999
8149,2018/04/07,-999,-999,-999
8149,2018/04/08,-999,-999,-999
8149,2018/04/09,-999,-999,-999
8149,2018/04/10,-999,-999,-999
8149,2018/04/11,-999,-999,-999
8149,2018/04/12,-999,-999,-999
8149,2018/04/13,-999,-999,-999
8149,2018/04/14,-999,-999,-999
8149,2018/04/15,-999,-999,-999
8149,2018/04/16,-999,-999,-999
8149,2018/04/17,-999,-999,-999
8149,2018/04/18,-999,-999,-999
8149,2018/04/19,-999,-999,-999
8149,2018/04/20,-999,-999,-999
8149,2018/04/21,-999,-999,-999
8149,2018/04/22,-999,-999,-999
8149,2018/04/23,-999,-999,-999
8149,2018/04/24,-999,-999,-999
8149,2018/04/25,-999,-999,-999
8149,2018/04/26,-999,-999,-999
8149,2018/04/27,-999,-999,-999
8149,2018/04/28,-999,-999,-999
8149,2018/04/29,-999,-999,-999
8149,2018/04/30,-999,-999,-999
8149,2018/05/01,-999,-999,-999
8149,2018/05/02,-999,-999,-999
8149,2018/05/03,-999,-999,-999
8149,2018/05/04,-999,-999,-999
8149,2018/05/05,-999,-999,-999
8149,2018/05/06,-999,-999,-999
8149,2018/05/07,-999,-999,-999
8149,2018/05/08,-999,-999,-999
8149,2018/05/09,-999,-999,-999
8149,2018/05/10,-999,-999,-999
8149,2018/05/11,-999,-999,-999
8149,2018/05/12,-999,-999,-999
8149,2018/05/13,-999,-999,-999
8149,2018/05/14,-999,-999,-999
8149,2018/05/15,-999,-999,-999
8149,2018/05/16,-999,-999,-999
8149,2018/05/17,-999,-999,-999
8149,2018/05/18,-999,-999,-999
8149,2018/05/19,-999,-999,-999
8149,2018/05/20,-999,-999,-999
8149,2018/05/21,-999,-999,-999
8149,2018/05/22,-999,-999,-999
8149,2018/05/23,-999,-999,-999
8149,2018/05/24,-999,-999,-999
8149,2018/05/25,-999,-999,-999
8149,2018/05/26,-999,-999,-999
8149,2018/05/27,-999,-999,-999
8149,2018/05/28,-999,-999,-999
8149,2018/05/29,-999,-999,-999
8149,2018/05/30,-999,-999,-999
8149,2018/05/31,-999,-999,-999
8149,2018/06/01,-999,-999,-999
8149,2018/06/02,-999,-999,-999
8149,2018/06/03,-999,-999,-999
8149,2018/06/04,-999,-999,-999
8149,2018/06/05,-999,-999,-999
8149,2018/06/06,-999,-999,-999
8149,2018/06/07,-999,-999,-999
8149,2018/06/08,-999,-999,-999
8149,2018/06/09,-999,-999,-999
8149,2018/06/10,-999,-999,-999
8149,2018/06/11,-999,-999,-999
8149,2018/06/12,-999,-999,-999
8149,2018/06/13,-999,-999,-999
8149,2018/06/14,-999,-999,-999
8149,2018/06/15,-999,-999,-999
8149,2018/06/16,-999,-999,-999
8149,2018/06/17,-999,-999,-999
8149,2018/06/18,-999,-999,-999
8149,2018/06/19,-999,-999,-999
8149,2018/06/20,-999,-999,-999
8149,2018/06/21,-999,-999,-999
8149,2018/06/22,-999,-999,-999
8149,2018/06/23,-999,-999,-999
8149,2018/06/24,-999,-999,-999
8149,2018/06/25,-999,-999,-999
8149,2018/06/26,-999,-999,-999
8149,2018/06/27,-999,-999,-999
8149,2018/06/28,-999,-999,-999
8149,2018/06/29,-999,-999,-999
8149,2018/06/30,-999,-999,-999
8149,2018/07/01,-999,-999,-999
8149,2018/07/02,-999,-999,-999
8149,2018/07/03,-999,-999,-999
8149,2018/07/04,-999,-999,-999
8149,2018/07/05,-999,-999,-999
8149,2018/07/06,-999,-999,-999
8149,2018/07/07,-999,-999,-999
8149,2018/07/08,-999,-999,-999
8149,2018/07/09,-999,-999,-999
8149,2018/07/10,-999,-999,-999
8149,2018/07/11,-999,-999,-999
8149,2018/07/12,-999,-999,-999
8149,2018/07/13,-999,-999,-999
8149,2018/07/14,-999,-999,-999
8149,2018/07/15,-999,-999,-999
8149,2018/07/16,-999,-999,-999
8149,2018/07/17,-999,-999,-999
8149,2018/07/18,-999,-999,-999
8149,2018/07/19,-999,-999,-999
8149,2018/07/20,-999,-999,-999
8149,2018/07/21,-999,-999,-999
8149,2018/07/22,-999,-999,-999
8149,2018/07/23,-999,-999,-999
8149,2018/07/24,-999,-999,-999
8149,2018/07/25,-999,-999,-999
