Id Sensore,Data-Ora,Valore Cumulata Giornaliero, Minimo Valore Cumulata Orario, Massimo Valore Cumulata Orario
19373,2018/01/01,9.0,0.0,2.0
19373,2018/01/02,0.0,0.0,0.0
19373,2018/01/03,0.2,0.0,0.2
19373,2018/01/04,0.0,0.0,0.0
19373,2018/01/05,1.2,0.0,0.8
19373,2018/01/06,7.4,0.0,0.8
19373,2018/01/07,0.2,0.0,0.2
19373,2018/01/08,1.6,0.0,1.2
19373,2018/01/09,8.8,0.0,5.2
19373,2018/01/10,0.0,0.0,0.0
19373,2018/01/11,0.2,0.0,0.2
19373,2018/01/12,0.0,0.0,0.0
19373,2018/01/13,0.0,0.0,0.0
19373,2018/01/14,0.0,0.0,0.0
19373,2018/01/15,0.6,0.0,0.4
19373,2018/01/16,0.2,0.0,0.2
19373,2018/01/17,0.2,0.0,0.2
19373,2018/01/18,0.0,0.0,0.0
19373,2018/01/19,0.0,0.0,0.0
19373,2018/01/20,0.0,0.0,0.0
19373,2018/01/21,0.0,0.0,0.0
19373,2018/01/22,0.0,0.0,0.0
19373,2018/01/23,0.0,0.0,0.0
19373,2018/01/24,0.0,0.0,0.0
19373,2018/01/25,8.2,0.0,1.8
19373,2018/01/26,5.8,0.0,1.0
19373,2018/01/27,2.8,0.0,1.0
19373,2018/01/28,0.2,0.0,0.2
19373,2018/01/29,0.0,0.0,0.0
19373,2018/01/30,0.0,0.0,0.0
19373,2018/01/31,2.4,0.0,0.4
19373,2018/02/01,5.6,0.0,1.8
19373,2018/02/02,0.0,0.0,0.0
19373,2018/02/03,0.0,0.0,0.0
19373,2018/02/04,0.0,0.0,0.0
19373,2018/02/05,2.6,0.0,0.6
19373,2018/02/06,11.4,0.0,2.2
19373,2018/02/07,2.0,0.0,1.0
19373,2018/02/08,0.0,0.0,0.0
19373,2018/02/09,0.2,0.0,0.2
19373,2018/02/10,3.6,0.0,2.0
19373,2018/02/11,0.0,0.0,0.0
19373,2018/02/12,0.0,0.0,0.0
19373,2018/02/13,0.0,0.0,0.0
19373,2018/02/14,0.0,0.0,0.0
19373,2018/02/15,0.0,0.0,0.0
19373,2018/02/16,0.0,0.0,0.0
19373,2018/02/17,0.0,0.0,0.0
19373,2018/02/18,0.0,0.0,0.0
19373,2018/02/19,0.0,0.0,0.0
19373,2018/02/20,0.0,0.0,0.0
19373,2018/02/21,0.0,0.0,0.0
19373,2018/02/22,0.8,0.0,0.4
19373,2018/02/23,5.8,0.0,1.0
19373,2018/02/24,0.6,0.0,0.2
19373,2018/02/25,0.2,0.0,0.2
19373,2018/02/26,0.0,0.0,0.0
19373,2018/02/27,0.0,0.0,0.0
19373,2018/02/28,0.0,0.0,0.0
19373,2018/03/01,0.8,0.0,0.4
19373,2018/03/02,0.6,0.0,0.2
19373,2018/03/03,5.8,0.0,1.8
19373,2018/03/04,1.6,0.0,1.0
19373,2018/03/05,0.8,0.0,0.4
19373,2018/03/06,1.2,0.0,0.6
19373,2018/03/07,9.2,0.0,3.0
19373,2018/03/08,0.0,0.0,0.0
19373,2018/03/09,0.0,0.0,0.0
19373,2018/03/10,4.8,0.0,1.0
19373,2018/03/11,42.0,0.0,6.4
19373,2018/03/12,5.4,0.0,2.8
19373,2018/03/13,0.0,0.0,0.0
19373,2018/03/14,0.0,0.0,0.0
19373,2018/03/15,-999,-999,-999
19373,2018/03/16,1.4,0.0,1.4
19373,2018/03/17,23.0,0.0,6.6
19373,2018/03/18,10.4,0.0,1.6
19373,2018/03/19,1.0,0.0,0.8
19373,2018/03/20,5.8,0.0,2.8
19373,2018/03/21,1.0,0.0,0.8
19373,2018/03/22,0.0,0.0,0.0
19373,2018/03/23,0.0,0.0,0.0
19373,2018/03/24,0.0,0.0,0.0
19373,2018/03/25,0.0,0.0,0.0
19373,2018/03/26,0.0,0.0,0.0
19373,2018/03/27,0.0,0.0,0.0
19373,2018/03/28,0.0,0.0,0.0
19373,2018/03/29,0.6,0.0,0.6
19373,2018/03/30,2.4,0.0,1.6
19373,2018/03/31,2.4,0.0,1.4
19373,2018/04/01,0.0,0.0,0.0
19373,2018/04/02,0.0,0.0,0.0
19373,2018/04/03,7.4,0.0,3.0
19373,2018/04/04,16.8,0.0,2.4
19373,2018/04/05,0.2,0.0,0.2
19373,2018/04/06,0.0,0.0,0.0
19373,2018/04/07,0.0,0.0,0.0
19373,2018/04/08,0.0,0.0,0.0
19373,2018/04/09,13.6,0.0,2.6
19373,2018/04/10,6.2,0.0,4.2
19373,2018/04/11,41.2,0.0,7.6
19373,2018/04/12,42.2,0.0,13.0
19373,2018/04/13,0.4,0.0,0.2
19373,2018/04/14,0.0,0.0,0.0
19373,2018/04/15,0.0,0.0,0.0
19373,2018/04/16,0.0,0.0,0.0
19373,2018/04/17,0.0,0.0,0.0
19373,2018/04/18,0.0,0.0,0.0
19373,2018/04/19,0.0,0.0,0.0
19373,2018/04/20,0.0,0.0,0.0
19373,2018/04/21,0.0,0.0,0.0
19373,2018/04/22,0.0,0.0,0.0
19373,2018/04/23,0.0,0.0,0.0
19373,2018/04/24,0.0,0.0,0.0
19373,2018/04/25,0.0,0.0,0.0
19373,2018/04/26,0.0,0.0,0.0
19373,2018/04/27,0.0,0.0,0.0
19373,2018/04/28,0.2,0.0,0.2
19373,2018/04/29,0.0,0.0,0.0
19373,2018/04/30,1.0,0.0,1.0
19373,2018/05/01,3.6,0.0,1.4
19373,2018/05/02,10.2,0.0,1.8
19373,2018/05/03,4.0,0.0,1.2
19373,2018/05/04,2.8,0.0,1.4
19373,2018/05/05,0.0,0.0,0.0
19373,2018/05/06,0.0,0.0,0.0
19373,2018/05/07,0.0,0.0,0.0
19373,2018/05/08,8.0,0.0,7.8
19373,2018/05/09,6.0,0.0,3.2
19373,2018/05/10,0.0,0.0,0.0
19373,2018/05/11,4.4,0.0,2.2
19373,2018/05/12,0.0,0.0,0.0
19373,2018/05/13,7.6,0.0,6.8
19373,2018/05/14,19.4,0.0,9.0
19373,2018/05/15,0.0,0.0,0.0
19373,2018/05/16,8.8,0.0,7.0
19373,2018/05/17,0.0,0.0,0.0
19373,2018/05/18,0.0,0.0,0.0
19373,2018/05/19,0.6,0.0,0.6
19373,2018/05/20,8.8,0.0,3.0
19373,2018/05/21,1.8,0.0,1.2
19373,2018/05/22,2.0,0.0,1.4
19373,2018/05/23,0.0,0.0,0.0
19373,2018/05/24,0.0,0.0,0.0
19373,2018/05/25,0.0,0.0,0.0
19373,2018/05/26,0.0,0.0,0.0
19373,2018/05/27,0.0,0.0,0.0
19373,2018/05/28,13.8,0.0,5.6
19373,2018/05/29,3.8,0.0,3.8
19373,2018/05/30,6.2,0.0,5.8
19373,2018/05/31,0.0,0.0,0.0
