Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
14742,2018/01/01,3.5,2.8,4.2
14742,2018/01/02,5.8,0.5,13.3
14742,2018/01/03,4.8,0.9,8.3
14742,2018/01/04,7.7,4.3,13.4
14742,2018/01/05,5.3,2.7,7.2
14742,2018/01/06,6.9,6.2,8.0
14742,2018/01/07,8.7,6.9,10.1
14742,2018/01/08,11.0,8.6,12.9
14742,2018/01/09,10.9,9.5,12.1
14742,2018/01/10,8.3,7.0,10.7
14742,2018/01/11,7.5,5.6,10.3
14742,2018/01/12,7.5,4.7,11.3
14742,2018/01/13,5.6,1.8,10.1
14742,2018/01/14,3.3,0.8,8.0
14742,2018/01/15,2.8,-0.1,4.8
14742,2018/01/16,4.1,1.6,6.7
14742,2018/01/17,4.4,1.4,10.3
14742,2018/01/18,5.4,-0.1,11.7
14742,2018/01/19,5.9,1.2,13.2
14742,2018/01/20,5.0,1.2,8.5
14742,2018/01/21,7.8,2.8,14.7
14742,2018/01/22,6.3,3.2,9.2
14742,2018/01/23,5.0,0.6,10.3
14742,2018/01/24,5.9,2.3,10.1
14742,2018/01/25,6.2,5.8,7.0
14742,2018/01/26,6.3,5.3,7.3
14742,2018/01/27,7.4,4.7,10.8
14742,2018/01/28,5.0,3.0,7.7
14742,2018/01/29,3.5,1.7,6.0
14742,2018/01/30,3.8,-0.6,8.9
14742,2018/01/31,6.1,5.3,7.6
14742,2018/02/01,6.6,6.1,7.2
14742,2018/02/02,6.5,4.9,7.9
14742,2018/02/03,5.1,3.2,8.1
14742,2018/02/04,4.6,0.8,7.9
14742,2018/02/05,4.9,4.3,6.0
14742,2018/02/06,4.3,3.0,5.9
14742,2018/02/07,5.0,2.8,8.7
14742,2018/02/08,6.0,1.4,9.6
14742,2018/02/09,7.6,6.0,10.4
14742,2018/02/10,6.5,3.7,10.3
14742,2018/02/11,5.2,1.7,8.4
14742,2018/02/12,6.0,2.7,8.7
14742,2018/02/13,3.8,0.2,8.1
14742,2018/02/14,3.7,-0.8,8.1
14742,2018/02/15,3.7,-0.1,8.3
14742,2018/02/16,4.4,0.5,7.0
14742,2018/02/17,6.3,4.7,7.8
14742,2018/02/18,5.3,3.0,7.9
14742,2018/02/19,5.0,3.1,6.4
14742,2018/02/20,5.2,3.0,8.4
14742,2018/02/21,5.3,0.6,9.8
14742,2018/02/22,4.4,3.6,5.5
14742,2018/02/23,3.0,1.4,4.0
14742,2018/02/24,6.3,3.3,9.7
14742,2018/02/25,0.8,-1.3,7.0
14742,2018/02/26,-1.2,-3.0,0.5
14742,2018/02/27,-2.1,-4.4,0.2
14742,2018/02/28,-1.4,-5.1,1.3
14742,2018/03/01,-1.6,-2.9,-0.2
14742,2018/03/02,-0.1,-1.3,1.3
14742,2018/03/03,1.0,-0.8,2.8
14742,2018/03/04,2.2,0.1,7.0
14742,2018/03/05,5.4,2.5,9.1
14742,2018/03/06,6.2,4.1,8.5
14742,2018/03/07,6.6,4.7,8.8
14742,2018/03/08,8.5,2.0,14.7
14742,2018/03/09,11.0,6.5,15.2
14742,2018/03/10,9.4,8.4,10.2
14742,2018/03/11,8.5,7.7,9.1
14742,2018/03/12,9.2,7.2,12.2
14742,2018/03/13,11.0,5.7,16.4
14742,2018/03/14,11.3,4.9,17.4
14742,2018/03/15,8.8,6.3,10.3
14742,2018/03/16,10.2,5.7,14.8
14742,2018/03/17,9.0,7.7,10.7
14742,2018/03/18,7.2,6.2,8.8
14742,2018/03/19,4.6,3.1,6.3
14742,2018/03/20,6.4,3.6,9.3
14742,2018/03/21,5.8,3.4,8.5
14742,2018/03/22,6.4,3.2,9.8
14742,2018/03/23,7.7,2.0,12.7
14742,2018/03/24,8.9,6.8,11.4
14742,2018/03/25,9.2,5.5,12.9
14742,2018/03/26,9.8,3.5,15.4
14742,2018/03/27,11.7,5.4,16.8
14742,2018/03/28,11.6,8.2,14.6
14742,2018/03/29,11.8,10.4,12.8
14742,2018/03/30,13.5,10.2,17.4
14742,2018/03/31,10.8,7.8,13.5
14742,2018/04/01,13.7,7.9,18.8
14742,2018/04/02,11.6,5.9,15.9
14742,2018/04/03,11.4,8.3,13.8
14742,2018/04/04,9.8,9.2,10.5
14742,2018/04/05,12.5,8.9,17.4
14742,2018/04/06,14.0,7.9,19.8
14742,2018/04/07,15.5,10.3,19.7
14742,2018/04/08,15.9,12.4,19.3
14742,2018/04/09,12.7,11.0,15.2
14742,2018/04/10,11.6,10.0,13.9
14742,2018/04/11,10.7,8.4,13.4
14742,2018/04/12,11.4,8.1,16.1
14742,2018/04/13,12.1,8.4,15.9
14742,2018/04/14,14.6,8.8,19.6
14742,2018/04/15,14.7,11.8,18.4
14742,2018/04/16,17.5,12.0,22.9
14742,2018/04/17,19.2,12.8,24.4
14742,2018/04/18,20.1,14.4,25.4
14742,2018/04/19,19.9,13.8,24.9
14742,2018/04/20,21.4,13.9,27.3
14742,2018/04/21,21.8,14.0,27.8
14742,2018/04/22,21.9,16.8,26.9
14742,2018/04/23,21.1,15.6,26.7
14742,2018/04/24,20.6,15.6,26.0
14742,2018/04/25,20.7,15.5,26.3
14742,2018/04/26,20.5,15.6,25.5
14742,2018/04/27,18.9,16.4,21.5
14742,2018/04/28,19.7,14.4,24.2
14742,2018/04/29,20.6,17.3,25.2
14742,2018/04/30,17.1,13.8,20.3
14742,2018/05/01,15.0,11.6,18.6
14742,2018/05/02,12.9,11.6,13.9
14742,2018/05/03,15.5,11.9,18.4
14742,2018/05/04,18.1,15.4,22.3
14742,2018/05/05,19.8,14.7,24.4
14742,2018/05/06,21.6,15.2,27.1
14742,2018/05/07,20.6,17.3,23.3
14742,2018/05/08,20.5,15.5,26.0
14742,2018/05/09,17.6,14.9,22.5
14742,2018/05/10,19.3,14.0,23.8
14742,2018/05/11,19.2,15.5,25.7
14742,2018/05/12,19.2,14.6,24.9
14742,2018/05/13,17.8,15.3,22.7
14742,2018/05/14,14.3,10.3,18.1
14742,2018/05/15,14.1,10.8,16.8
14742,2018/05/16,16.1,12.6,21.9
14742,2018/05/17,17.7,12.7,21.8
14742,2018/05/18,19.4,15.0,24.1
14742,2018/05/19,18.5,15.6,23.4
14742,2018/05/20,18.1,15.2,22.1
14742,2018/05/21,18.7,15.1,23.7
14742,2018/05/22,17.4,16.1,18.8
14742,2018/05/23,20.1,15.4,25.0
14742,2018/05/24,21.6,16.1,26.4
14742,2018/05/25,23.4,17.0,29.0
14742,2018/05/26,24.4,19.2,28.7
14742,2018/05/27,24.4,20.0,28.9
14742,2018/05/28,21.4,17.9,26.1
14742,2018/05/29,21.9,18.2,26.3
14742,2018/05/30,22.5,18.6,26.4
14742,2018/05/31,21.8,17.2,26.8
14742,2018/06/01,22.1,17.1,27.5
14742,2018/06/02,22.8,17.8,27.9
14742,2018/06/03,24.2,19.1,28.4
14742,2018/06/04,21.4,18.2,25.4
14742,2018/06/05,22.1,16.7,27.9
14742,2018/06/06,22.5,19.1,26.4
14742,2018/06/07,22.7,18.4,27.5
14742,2018/06/08,20.7,17.6,24.6
14742,2018/06/09,22.7,16.9,28.3
14742,2018/06/10,24.0,18.8,28.4
14742,2018/06/11,24.9,20.8,28.8
14742,2018/06/12,22.8,18.6,26.6
14742,2018/06/13,20.8,18.2,24.1
14742,2018/06/14,23.2,19.1,27.1
14742,2018/06/15,23.6,18.9,27.4
14742,2018/06/16,24.8,19.8,28.5
14742,2018/06/17,25.8,20.3,30.0
14742,2018/06/18,26.2,20.6,30.2
14742,2018/06/19,26.8,22.0,30.7
14742,2018/06/20,28.1,24.4,30.9
14742,2018/06/21,27.5,22.9,31.9
14742,2018/06/22,25.7,20.2,31.1
14742,2018/06/23,22.6,18.8,26.4
14742,2018/06/24,23.0,18.7,26.6
14742,2018/06/25,22.9,19.5,26.0
14742,2018/06/26,23.5,18.9,27.4
14742,2018/06/27,24.4,18.3,30.1
14742,2018/06/28,24.4,17.9,28.9
14742,2018/06/29,26.7,21.0,31.1
14742,2018/06/30,27.6,21.4,33.2
14742,2018/07/01,27.8,22.9,32.2
14742,2018/07/02,26.5,22.8,30.1
14742,2018/07/03,27.1,20.8,32.3
