Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5909,2018/01/01,3.7,2.9,4.6
5909,2018/01/02,7.3,2.5,14.1
5909,2018/01/03,6.6,4.1,9.4
5909,2018/01/04,8.6,5.8,14.0
5909,2018/01/05,6.5,4.7,8.0
5909,2018/01/06,7.3,6.3,8.2
5909,2018/01/07,8.5,7.6,9.4
5909,2018/01/08,10.7,8.2,12.8
5909,2018/01/09,10.9,10.1,12.0
5909,2018/01/10,9.0,7.8,11.2
5909,2018/01/11,8.4,7.6,10.0
5909,2018/01/12,8.8,6.3,11.7
5909,2018/01/13,7.6,5.1,10.2
5909,2018/01/14,5.0,2.9,8.6
5909,2018/01/15,4.2,2.5,5.9
5909,2018/01/16,4.7,3.8,6.1
5909,2018/01/17,5.3,1.8,10.1
5909,2018/01/18,7.4,3.2,12.5
5909,2018/01/19,7.9,4.6,13.8
5909,2018/01/20,6.1,2.2,9.1
5909,2018/01/21,8.3,4.0,15.1
5909,2018/01/22,7.6,5.3,9.9
5909,2018/01/23,6.4,3.1,10.3
5909,2018/01/24,7.8,4.7,11.8
5909,2018/01/25,7.0,5.6,8.0
5909,2018/01/26,6.5,5.5,7.8
5909,2018/01/27,8.0,6.3,11.2
5909,2018/01/28,6.8,4.5,10.1
5909,2018/01/29,5.8,4.7,7.1
5909,2018/01/30,3.3,1.0,5.6
5909,2018/01/31,6.1,5.2,7.0
5909,2018/02/01,6.5,5.7,7.5
5909,2018/02/02,7.0,5.8,8.3
5909,2018/02/03,5.8,4.0,7.9
5909,2018/02/04,5.1,2.8,7.9
5909,2018/02/05,5.4,4.9,6.2
5909,2018/02/06,4.4,2.7,6.1
5909,2018/02/07,5.6,2.7,9.1
5909,2018/02/08,7.0,3.7,10.1
5909,2018/02/09,8.2,6.6,10.4
5909,2018/02/10,7.4,4.9,10.9
5909,2018/02/11,6.3,3.6,9.3
5909,2018/02/12,6.0,3.3,10.1
5909,2018/02/13,4.9,2.2,8.1
5909,2018/02/14,5.1,2.0,9.0
5909,2018/02/15,4.8,2.6,8.4
5909,2018/02/16,5.4,2.8,7.6
5909,2018/02/17,6.5,5.6,7.8
5909,2018/02/18,5.9,4.0,8.3
5909,2018/02/19,-999,-999,-999
5909,2018/02/20,-999,-999,-999
5909,2018/02/21,-999,-999,-999
5909,2018/02/22,-999,-999,-999
5909,2018/02/23,-999,-999,-999
5909,2018/02/24,6.7,4.0,9.9
5909,2018/02/25,0.9,-0.9,6.4
5909,2018/02/26,-1.2,-3.2,1.2
5909,2018/02/27,-1.6,-3.9,1.1
5909,2018/02/28,-0.8,-3.6,2.1
5909,2018/03/01,-1.2,-2.4,-0.2
5909,2018/03/02,0.6,-0.4,1.9
5909,2018/03/03,1.5,0.2,3.2
5909,2018/03/04,2.3,0.3,6.5
5909,2018/03/05,5.8,2.2,8.8
5909,2018/03/06,6.3,4.8,7.5
5909,2018/03/07,6.8,5.5,8.7
5909,2018/03/08,9.7,4.4,15.8
5909,2018/03/09,11.4,8.0,15.5
5909,2018/03/10,9.6,8.3,10.9
5909,2018/03/11,8.5,7.5,9.2
5909,2018/03/12,9.5,7.3,12.3
5909,2018/03/13,12.3,7.9,17.3
5909,2018/03/14,12.7,8.1,17.6
5909,2018/03/15,8.9,7.0,10.6
5909,2018/03/16,10.9,6.6,15.8
5909,2018/03/17,8.8,7.6,11.2
5909,2018/03/18,7.2,6.3,8.7
5909,2018/03/19,4.2,2.4,6.1
5909,2018/03/20,6.2,2.7,9.2
5909,2018/03/21,6.1,2.6,8.5
5909,2018/03/22,6.9,3.9,11.0
5909,2018/03/23,7.9,3.3,12.6
5909,2018/03/24,8.9,6.6,11.2
5909,2018/03/25,10.0,6.9,13.2
5909,2018/03/26,11.2,6.1,15.9
5909,2018/03/27,12.9,8.4,16.8
5909,2018/03/28,12.1,8.0,15.9
5909,2018/03/29,12.3,10.5,14.0
5909,2018/03/30,13.4,9.5,17.5
5909,2018/03/31,10.9,8.5,13.7
5909,2018/04/01,14.2,8.5,18.7
5909,2018/04/02,12.9,9.1,15.9
5909,2018/04/03,12.4,9.9,15.6
5909,2018/04/04,9.8,9.3,10.5
5909,2018/04/05,13.1,9.3,17.6
5909,2018/04/06,15.0,10.5,20.4
5909,2018/04/07,16.2,12.1,19.9
5909,2018/04/08,15.9,12.7,20.1
5909,2018/04/09,12.7,11.1,15.2
5909,2018/04/10,11.7,10.5,14.0
5909,2018/04/11,11.1,9.1,13.0
5909,2018/04/12,11.4,8.1,16.9
5909,2018/04/13,12.3,8.9,15.6
5909,2018/04/14,15.6,10.7,20.2
5909,2018/04/15,15.2,12.7,19.0
5909,2018/04/16,18.3,13.1,24.2
5909,2018/04/17,19.8,14.9,24.7
5909,2018/04/18,20.7,16.1,25.6
5909,2018/04/19,20.7,15.4,25.6
5909,2018/04/20,22.2,16.6,27.5
5909,2018/04/21,22.7,17.3,27.3
5909,2018/04/22,21.9,17.4,26.8
