Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
8162,2020/01/01,2.2,-1.5,9.1
8162,2020/01/02,2.1,-1.1,7.7
8162,2020/01/03,3.5,0.5,7.5
8162,2020/01/04,3.9,-1.0,9.6
8162,2020/01/05,4.2,-0.1,12.0
8162,2020/01/06,1.8,-0.5,6.4
8162,2020/01/07,-0.1,-1.9,2.9
8162,2020/01/08,0.8,-0.6,4.4
8162,2020/01/09,1.7,-1.3,8.1
8162,2020/01/10,4.9,1.5,8.4
8162,2020/01/11,3.5,-1.0,10.5
8162,2020/01/12,2.7,-0.8,8.9
8162,2020/01/13,1.6,-1.6,7.2
8162,2020/01/14,3.6,-0.3,6.2
8162,2020/01/15,5.2,4.0,6.4
8162,2020/01/16,5.3,1.5,9.0
8162,2020/01/17,4.8,-0.1,10.2
8162,2020/01/18,5.4,2.3,8.8
8162,2020/01/19,3.6,1.1,8.1
8162,2020/01/20,3.7,-0.1,9.3
8162,2020/01/21,2.1,-1.3,6.7
8162,2020/01/22,2.6,-1.2,8.3
8162,2020/01/23,2.6,-0.9,8.6
8162,2020/01/24,3.6,-1.0,8.6
8162,2020/01/25,5.1,1.8,8.9
8162,2020/01/26,5.6,2.2,10.3
8162,2020/01/27,5.4,0.2,10.6
8162,2020/01/28,6.9,6.1,8.5
8162,2020/01/29,7.6,2.0,13.9
8162,2020/01/30,5.9,1.3,10.5
8162,2020/01/31,7.3,2.0,13.3
8162,2020/02/01,8.5,6.4,10.0
8162,2020/02/02,5.4,2.5,7.4
8162,2020/02/03,6.6,2.1,13.0
8162,2020/02/04,9.0,6.1,15.2
8162,2020/02/05,8.7,3.4,12.9
8162,2020/02/06,4.7,-0.5,11.0
8162,2020/02/07,4.6,-1.6,11.9
8162,2020/02/08,5.7,1.6,11.2
8162,2020/02/09,4.7,-0.1,9.7
8162,2020/02/10,6.9,5.0,10.5
8162,2020/02/11,10.5,2.5,18.2
8162,2020/02/12,9.1,3.2,15.1
8162,2020/02/13,6.3,0.9,11.5
8162,2020/02/14,8.3,3.4,14.1
8162,2020/02/15,6.6,1.2,13.0
8162,2020/02/16,7.8,1.7,13.4
8162,2020/02/17,9.4,8.6,10.3
8162,2020/02/18,9.3,5.5,14.4
8162,2020/02/19,8.6,4.0,13.5
8162,2020/02/20,7.2,2.3,13.0
8162,2020/02/21,7.4,1.3,14.3
8162,2020/02/22,7.8,2.2,13.8
8162,2020/02/23,10.1,5.2,14.6
8162,2020/02/24,12.4,8.0,19.2
8162,2020/02/25,11.1,8.7,13.2
8162,2020/02/26,9.6,6.9,13.6
8162,2020/02/27,7.2,1.1,11.8
8162,2020/02/28,9.6,4.3,14.7
8162,2020/02/29,7.1,3.5,10.5
8162,2020/03/01,6.6,5.4,8.3
8162,2020/03/02,5.3,2.3,8.0
8162,2020/03/03,7.7,4.7,12.1
8162,2020/03/04,7.0,1.8,13.1
8162,2020/03/05,6.3,3.8,9.7
8162,2020/03/06,5.8,3.7,9.7
8162,2020/03/07,8.4,1.7,15.8
8162,2020/03/08,8.4,1.9,14.0
8162,2020/03/09,7.8,3.9,11.1
8162,2020/03/10,10.0,4.9,15.2
8162,2020/03/11,12.0,4.1,19.1
8162,2020/03/12,11.4,6.3,14.4
8162,2020/03/13,14.6,12.2,17.9
8162,2020/03/14,10.0,5.0,13.4
8162,2020/03/15,8.3,3.9,13.9
8162,2020/03/16,8.7,3.0,14.8
8162,2020/03/17,9.7,3.3,16.6
8162,2020/03/18,11.5,4.6,19.4
8162,2020/03/19,12.8,5.6,20.9
8162,2020/03/20,12.4,6.6,18.0
8162,2020/03/21,12.6,5.5,19.5
8162,2020/03/22,11.5,9.6,14.7
8162,2020/03/23,5.6,1.4,9.3
8162,2020/03/24,5.6,-0.9,11.3
8162,2020/03/25,5.1,1.3,9.1
8162,2020/03/26,4.7,0.1,8.3
8162,2020/03/27,9.9,6.0,13.6
8162,2020/03/28,12.6,7.8,18.4
8162,2020/03/29,13.5,8.1,19.0
8162,2020/03/30,11.7,6.7,15.6
8162,2020/03/31,5.7,2.0,9.4
8162,2020/04/01,6.4,2.4,10.9
8162,2020/04/02,6.9,0.2,13.6
8162,2020/04/03,9.3,1.7,16.8
8162,2020/04/04,11.4,4.0,18.9
8162,2020/04/05,12.9,6.9,18.5
8162,2020/04/06,13.5,6.1,20.7
