Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
14742,2020/01/01,4.1,-0.6,11.4
14742,2020/01/02,2.9,-0.9,8.4
14742,2020/01/03,3.6,0.7,7.7
14742,2020/01/04,4.6,-0.2,10.0
14742,2020/01/05,6.2,1.1,13.5
14742,2020/01/06,2.1,-1.3,5.9
14742,2020/01/07,-0.8,-2.7,1.3
14742,2020/01/08,-0.2,-1.3,3.0
14742,2020/01/09,2.0,-2.5,10.3
14742,2020/01/10,5.3,2.2,8.1
14742,2020/01/11,4.5,-0.2,11.3
14742,2020/01/12,4.3,0.6,9.5
14742,2020/01/13,2.7,-0.3,8.3
14742,2020/01/14,3.1,0.5,5.3
14742,2020/01/15,5.0,4.1,5.8
14742,2020/01/16,5.0,1.3,9.3
14742,2020/01/17,5.1,0.0,11.0
14742,2020/01/18,5.7,2.6,9.0
14742,2020/01/19,3.7,0.9,7.8
14742,2020/01/20,4.7,1.4,9.9
14742,2020/01/21,2.7,-0.1,7.3
14742,2020/01/22,2.9,-1.5,9.5
14742,2020/01/23,4.4,0.9,10.0
14742,2020/01/24,4.3,-0.2,8.7
14742,2020/01/25,5.4,2.9,8.3
14742,2020/01/26,5.8,3.0,10.5
14742,2020/01/27,6.3,1.0,11.7
14742,2020/01/28,6.9,4.3,8.7
14742,2020/01/29,7.7,2.4,14.8
14742,2020/01/30,7.0,2.3,11.9
14742,2020/01/31,8.3,3.2,14.2
14742,2020/02/01,8.6,5.0,9.8
14742,2020/02/02,6.0,1.5,11.9
14742,2020/02/03,8.4,2.9,17.4
14742,2020/02/04,8.9,6.4,15.0
14742,2020/02/05,9.2,3.6,13.3
14742,2020/02/06,6.5,2.5,12.2
14742,2020/02/07,5.8,-0.3,12.8
14742,2020/02/08,7.1,4.4,11.1
14742,2020/02/09,5.0,1.2,8.6
14742,2020/02/10,6.9,5.0,11.1
14742,2020/02/11,11.4,3.3,19.3
14742,2020/02/12,10.7,5.3,15.8
14742,2020/02/13,7.3,2.8,11.6
14742,2020/02/14,9.1,4.1,15.2
14742,2020/02/15,8.3,3.5,13.9
14742,2020/02/16,8.6,2.9,13.2
14742,2020/02/17,9.2,8.4,9.8
14742,2020/02/18,9.9,5.2,15.3
14742,2020/02/19,9.2,5.1,14.3
14742,2020/02/20,8.3,3.8,13.3
14742,2020/02/21,8.5,2.3,15.2
14742,2020/02/22,8.9,3.6,14.1
14742,2020/02/23,9.9,4.9,15.1
14742,2020/02/24,12.4,7.0,19.8
14742,2020/02/25,11.5,9.8,13.2
14742,2020/02/26,9.5,6.4,14.2
14742,2020/02/27,6.9,1.0,11.4
14742,2020/02/28,10.1,5.6,15.7
14742,2020/02/29,7.5,5.3,10.3
14742,2020/03/01,6.5,5.2,8.3
14742,2020/03/02,5.6,3.1,8.3
14742,2020/03/03,8.7,5.5,13.5
14742,2020/03/04,8.8,1.8,14.1
14742,2020/03/05,7.0,4.0,9.6
14742,2020/03/06,6.2,3.0,10.2
14742,2020/03/07,9.5,2.7,16.7
14742,2020/03/08,9.0,3.6,13.8
14742,2020/03/09,8.1,5.8,10.5
14742,2020/03/10,9.5,3.8,16.0
14742,2020/03/11,12.3,4.9,19.4
14742,2020/03/12,11.9,7.9,14.6
14742,2020/03/13,14.5,11.9,18.6
14742,2020/03/14,10.7,6.1,14.0
14742,2020/03/15,9.1,5.5,12.9
14742,2020/03/16,10.1,4.8,15.3
14742,2020/03/17,11.2,5.3,17.0
14742,2020/03/18,13.1,6.6,20.0
14742,2020/03/19,14.0,7.7,20.8
14742,2020/03/20,13.4,8.2,18.0
14742,2020/03/21,13.5,6.9,19.0
14742,2020/03/22,12.2,10.3,14.6
14742,2020/03/23,5.8,3.3,9.7
14742,2020/03/24,6.3,0.5,11.0
14742,2020/03/25,5.4,2.8,7.8
14742,2020/03/26,4.8,1.7,7.2
14742,2020/03/27,9.7,5.9,12.9
14742,2020/03/28,13.0,7.7,18.0
14742,2020/03/29,13.7,9.0,18.5
14742,2020/03/30,11.2,7.5,14.7
14742,2020/03/31,6.4,4.0,9.6
14742,2020/04/01,6.7,2.5,10.4
14742,2020/04/02,7.6,1.7,13.1
14742,2020/04/03,10.7,3.8,16.8
14742,2020/04/04,12.8,5.8,18.7
14742,2020/04/05,14.1,10.0,18.9
14742,2020/04/06,14.7,8.2,20.6
