Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
5920,2020/01/01,5.4,0.6,11.6
5920,2020/01/02,4.0,0.9,8.6
5920,2020/01/03,4.4,1.6,8.3
5920,2020/01/04,5.3,0.4,10.3
5920,2020/01/05,7.6,2.6,14.2
5920,2020/01/06,3.4,-0.6,7.0
5920,2020/01/07,0.2,-1.7,2.3
5920,2020/01/08,0.5,-0.6,3.7
5920,2020/01/09,2.3,-1.6,9.1
5920,2020/01/10,6.0,4.2,8.2
5920,2020/01/11,5.5,1.0,12.0
5920,2020/01/12,5.4,1.7,10.6
5920,2020/01/13,3.6,0.7,9.0
5920,2020/01/14,3.9,1.3,6.0
5920,2020/01/15,5.7,4.7,6.7
5920,2020/01/16,6.1,2.7,10.2
5920,2020/01/17,5.9,0.9,11.3
5920,2020/01/18,6.4,3.2,9.4
5920,2020/01/19,4.6,1.5,8.7
5920,2020/01/20,6.0,2.5,10.4
5920,2020/01/21,3.7,1.0,7.7
5920,2020/01/22,3.8,-0.6,9.3
5920,2020/01/23,5.7,2.1,10.9
5920,2020/01/24,5.3,1.2,9.7
5920,2020/01/25,6.3,4.2,8.8
5920,2020/01/26,6.7,3.7,11.4
5920,2020/01/27,7.3,2.0,12.7
5920,2020/01/28,7.5,5.5,9.2
5920,2020/01/29,8.0,2.9,15.0
5920,2020/01/30,7.8,3.1,12.5
5920,2020/01/31,9.1,3.8,14.6
5920,2020/02/01,9.3,6.2,10.4
5920,2020/02/02,6.8,2.2,12.0
5920,2020/02/03,8.6,3.2,17.7
5920,2020/02/04,-999,-999,-999
5920,2020/02/05,-999,-999,-999
5920,2020/02/06,7.9,3.9,13.0
5920,2020/02/07,7.2,0.7,13.6
5920,2020/02/08,8.3,5.1,12.5
5920,2020/02/09,5.9,2.8,9.7
5920,2020/02/10,7.4,5.9,11.5
5920,2020/02/11,12.0,4.6,20.2
5920,2020/02/12,11.5,6.7,16.7
5920,2020/02/13,8.7,4.3,12.5
5920,2020/02/14,9.6,4.1,15.8
5920,2020/02/15,9.8,6.0,14.8
5920,2020/02/16,9.8,4.2,14.2
5920,2020/02/17,10.0,9.1,10.4
5920,2020/02/18,11.0,6.0,16.5
5920,2020/02/19,10.2,6.5,14.6
5920,2020/02/20,9.7,5.3,14.6
5920,2020/02/21,9.5,3.8,16.1
5920,2020/02/22,10.2,4.9,15.2
5920,2020/02/23,10.5,5.7,15.5
5920,2020/02/24,12.9,7.7,20.4
5920,2020/02/25,12.2,10.4,13.8
5920,2020/02/26,10.0,6.3,14.3
5920,2020/02/27,7.4,1.9,12.4
5920,2020/02/28,10.7,4.4,16.4
5920,2020/02/29,8.5,6.3,10.9
5920,2020/03/01,6.9,5.7,8.5
5920,2020/03/02,6.2,4.4,8.6
5920,2020/03/03,9.1,5.9,13.3
5920,2020/03/04,9.8,2.8,14.7
5920,2020/03/05,8.0,4.5,9.9
5920,2020/03/06,6.9,3.7,10.9
5920,2020/03/07,10.6,3.6,17.7
5920,2020/03/08,10.2,4.9,15.3
5920,2020/03/09,8.9,6.7,11.2
5920,2020/03/10,10.4,4.7,16.7
5920,2020/03/11,13.5,5.7,20.9
5920,2020/03/12,12.6,8.9,15.2
5920,2020/03/13,15.4,12.4,19.4
5920,2020/03/14,11.4,7.6,14.7
5920,2020/03/15,10.1,6.3,14.1
5920,2020/03/16,11.3,6.6,16.2
5920,2020/03/17,12.2,6.0,18.3
5920,2020/03/18,14.0,7.2,20.9
5920,2020/03/19,15.4,8.3,22.1
5920,2020/03/20,14.2,9.3,18.2
5920,2020/03/21,14.6,7.8,20.4
5920,2020/03/22,12.6,10.7,15.3
5920,2020/03/23,6.6,4.2,10.1
5920,2020/03/24,7.5,1.6,12.4
5920,2020/03/25,6.3,3.2,8.6
5920,2020/03/26,5.6,2.6,8.1
5920,2020/03/27,10.3,6.3,13.7
5920,2020/03/28,14.1,8.7,19.4
5920,2020/03/29,14.8,9.7,19.9
5920,2020/03/30,12.2,7.8,15.4
5920,2020/03/31,7.0,4.8,10.0
5920,2020/04/01,7.8,3.8,11.7
5920,2020/04/02,8.7,2.5,14.4
5920,2020/04/03,11.7,4.2,18.0
5920,2020/04/04,13.9,6.8,20.1
5920,2020/04/05,15.5,12.3,20.1
5920,2020/04/06,15.9,9.8,21.8
